author_id,affiliation_id
A0070,AFF0009
A0070,AFF0009
A0070,AFF0009
A0070,AFF0009
A0070,AFF0009
A0071,AFF0009
A0071,AFF0009
A0071,AFF0009
A0071,AFF0009
A0071,AFF0009
A0072,AFF0009
A0072,AFF0009
A0072,AFF0009
A0072,AFF0009
A0072,AFF0009
A0073,AFF0021
A0073,AFF0009
A0074,AFF0021
A0074,AFF0009
A0075,AFF0022
A0076,AFF0001
A0076,AFF0009
A0076,AFF0001
A0068,AFF0001
A0068,AFF0009
A0068,AFF0001
A0077,AFF0001
A0077,AFF0009
A0077,AFF0001
A0078,AFF0023
A0078,AFF0023
A0078,AFF0023
A0079,AFF0023
A0079,AFF0023
A0079,AFF0023
A0080,AFF0023
A0080,AFF0023
A0080,AFF0023
A0081,AFF0001
A0081,AFF0001
A0081,AFF0010
A0081,AFF0001
A0081,AFF0001
A0082,AFF0001
A0082,AFF0001
A0082,AFF0010
A0082,AFF0001
A0082,AFF0001
A0083,AFF0001
A0083,AFF0001
A0083,AFF0010
A0083,AFF0001
A0083,AFF0001
A0084,AFF0001
A0084,AFF0001
A0084,AFF0010
A0084,AFF0001
A0084,AFF0001
A0085,AFF0001
A0085,AFF0001
A0085,AFF0010
A0085,AFF0001
A0085,AFF0001
A0086,AFF0019
A0087,AFF0019
A0087,AFF0019
A0088,AFF0019
A0088,AFF0019
A0087,AFF0019
A0087,AFF0019
A0088,AFF0019
A0088,AFF0019
A0089,AFF0010
A0089,AFF0010
A0090,AFF0010
A0090,AFF0010
A0091,AFF0010
A0091,AFF0020
A0091,AFF0024
A0091,AFF0025
A0092,AFF0010
A0092,AFF0020
A0092,AFF0024
A0092,AFF0025
A0093,AFF0010
A0093,AFF0020
A0093,AFF0024
A0093,AFF0025
A0083,AFF0010
A0083,AFF0020
A0083,AFF0024
A0083,AFF0025
A0094,AFF0026
A0094,AFF0026
A0094,AFF0026
A0094,AFF0026
A0095,AFF0026
A0095,AFF0026
A0095,AFF0026
A0095,AFF0026
A0096,AFF0026
A0096,AFF0026
A0096,AFF0026
A0096,AFF0026
A0097,AFF0026
A0097,AFF0026
A0097,AFF0026
A0097,AFF0026
A0086,AFF0019
A0098,AFF0001
A0098,AFF0001
A0098,AFF0001
A0098,AFF0009
A0099,AFF0001
A0099,AFF0001
A0099,AFF0001
A0099,AFF0009
A0100,AFF0001
A0100,AFF0001
A0100,AFF0001
A0100,AFF0009
A0074,AFF0001
A0074,AFF0001
A0074,AFF0001
A0074,AFF0009
